epoch,x_label,phase,layer,mem_mib
9,bwd-L3,bwd,3,1004.738
9,bwd-L2,bwd,2,714.642
9,bwd-L1,bwd,1,424.546
10,fwd-L1,fwd,1,335.769
10,fwd-L2,fwd,2,621.705
10,fwd-L3,fwd,3,904.124
10,fwd-L4,fwd,4,1186.543
10,fwd-L5,fwd,5,1468.962
10,fwd-L6,fwd,6,1751.382
10,fwd-L7,fwd,7,2033.801
10,fwd-L8,fwd,8,2316.220
10,fwd-L9,fwd,9,2598.639
10,fwd-L10,fwd,10,2881.058
10,fwd-L11,fwd,11,3163.478
10,fwd-L12,fwd,12,3445.897
10,bwd-L12,bwd,12,3614.729
10,bwd-L11,bwd,11,3325.508
10,bwd-L10,bwd,10,3035.412
10,bwd-L9,bwd,9,2745.315
10,bwd-L8,bwd,8,2455.219
10,bwd-L7,bwd,7,2165.123
10,bwd-L6,bwd,6,1875.027
10,bwd-L5,bwd,5,1584.931
10,bwd-L4,bwd,4,1294.834
10,bwd-L3,bwd,3,1004.738
10,bwd-L2,bwd,2,714.642
10,bwd-L1,bwd,1,424.546
